test_date,total_positive,new_positive,confirmed_case_7d_avg,issue_date
2020-01-29,1,1,NA,2021-01-12
2020-01-30,1,0,NA,2021-01-12
2020-01-31,1,0,NA,2021-01-12
2020-02-01,1,0,NA,2021-01-12
2020-02-02,1,0,NA,2021-01-12
2020-02-03,1,0,NA,2021-01-12
2020-02-04,1,0,0.142857143,2021-01-12
2020-02-05,1,0,0,2021-01-12
2020-02-06,2,1,0.142857143,2021-01-12
2020-02-07,2,0,0.142857143,2021-01-12
2020-02-08,2,0,0.142857143,2021-01-12
2020-02-09,2,0,0.142857143,2021-01-12
2020-02-10,2,0,0.142857143,2021-01-12
2020-02-11,2,0,0.142857143,2021-01-12
2020-02-12,2,0,0.142857143,2021-01-12
2020-02-13,2,0,0,2021-01-12
2020-02-14,2,0,0,2021-01-12
2020-02-15,2,0,0,2021-01-12
2020-02-16,2,0,0,2021-01-12
2020-02-17,2,0,0,2021-01-12
2020-02-18,2,0,0,2021-01-12
2020-02-19,2,0,0,2021-01-12
2020-02-20,2,0,0,2021-01-12
2020-02-21,2,0,0,2021-01-12
2020-02-22,2,0,0,2021-01-12
2020-02-23,2,0,0,2021-01-12
2020-02-24,2,0,0,2021-01-12
2020-02-25,2,0,0,2021-01-12
2020-02-26,2,0,0,2021-01-12
2020-02-27,2,0,0,2021-01-12
2020-02-28,2,0,0,2021-01-12
2020-02-29,2,0,0,2021-01-12
2020-03-01,3,1,0.142857143,2021-01-12
2020-03-02,3,0,0.142857143,2021-01-12
2020-03-03,4,1,0.285714286,2021-01-12
2020-03-04,6,2,0.571428571,2021-01-12
2020-03-05,14,8,1.714285714,2021-01-12
2020-03-06,28,14,3.714285714,2021-01-12
2020-03-07,72,44,10,2021-01-12
2020-03-08,91,19,12.57142857,2021-01-12
2020-03-09,96,5,13.28571429,2021-01-12
2020-03-10,110,14,15.14285714,2021-01-12
2020-03-11,132,22,18,2021-01-12
2020-03-12,161,29,21,2021-01-12
2020-03-13,222,61,27.71428571,2021-01-12
2020-03-14,295,73,31.85714286,2021-01-12
2020-03-15,363,68,38.85714286,2021-01-12
2020-03-16,513,150,59.57142857,2021-01-12
2020-03-17,762,249,93.14285714,2021-01-12
2020-03-18,1021,259,127,2021-01-12
2020-03-19,1299,278,162.5714286,2021-01-12
2020-03-20,1687,388,209.2857143,2021-01-12
2020-03-21,2009,322,244.8571429,2021-01-12
2020-03-22,2295,286,276,2021-01-12
2020-03-23,2904,609,341.5714286,2021-01-12
2020-03-24,3622,718,408.5714286,2021-01-12
2020-03-25,4368,746,478.1428571,2021-01-12
2020-03-26,5303,935,572,2021-01-12
2020-03-27,6246,943,651.2857143,2021-01-12
2020-03-28,6900,654,698.7142857,2021-01-12
2020-03-29,7423,523,732.5714286,2021-01-12
2020-03-30,8661,1238,822.4285714,2021-01-12
2020-03-31,9927,1266,900.7142857,2021-01-12
2020-04-01,11265,1338,985.2857143,2021-01-12
2020-04-02,12540,1275,1033.857143,2021-01-12
2020-04-03,14020,1480,1110.571429,2021-01-12
2020-04-04,15182,1162,1183.142857,2021-01-12
2020-04-05,16159,977,1248,2021-01-12
2020-04-06,18091,1932,1347.142857,2021-01-12
2020-04-07,20112,2021,1455,2021-01-12
2020-04-08,21976,1864,1530.142857,2021-01-12
2020-04-09,23954,1978,1630.571429,2021-01-12
2020-04-10,26009,2055,1712.714286,2021-01-12
2020-04-11,27338,1329,1736.571429,2021-01-12
2020-04-12,28268,930,1729.857143,2021-01-12
2020-04-13,30254,1986,1737.571429,2021-01-12
2020-04-14,33181,2927,1867,2021-01-12
2020-04-15,35721,2540,1963.571429,2021-01-12
2020-04-16,38107,2386,2021.857143,2021-01-12
2020-04-17,41096,2989,2155.285714,2021-01-12
2020-04-18,42576,1480,2176.857143,2021-01-12
2020-04-19,43665,1089,2199.571429,2021-01-12
2020-04-20,46350,2685,2299.428571,2021-01-12
2020-04-21,48536,2186,2193.571429,2021-01-12
2020-04-22,51239,2703,2216.857143,2021-01-12
2020-04-23,53644,2405,2219.571429,2021-01-12
2020-04-24,55918,2274,2117.428571,2021-01-12
2020-04-25,57410,1492,2119.142857,2021-01-12
2020-04-26,58254,844,2084.142857,2021-01-12
2020-04-27,60382,2128,2004.571429,2021-01-12
2020-04-28,62485,2103,1992.714286,2021-01-12
2020-04-29,64670,2185,1918.714286,2021-01-12
2020-04-30,66717,2047,1867.571429,2021-01-12
2020-05-01,68798,2081,1840,2021-01-12
2020-05-02,69827,1029,1773.857143,2021-01-12
2020-05-03,70560,733,1758,2021-01-12
2020-05-04,72438,1878,1722.285714,2021-01-12
2020-05-05,74171,1733,1669.428571,2021-01-12
2020-05-06,75869,1698,1599.857143,2021-01-12
2020-05-07,77546,1677,1547,2021-01-12
2020-05-08,78999,1453,1457.285714,2021-01-12
2020-05-09,79681,682,1407.714286,2021-01-12
2020-05-10,80066,385,1358,2021-01-12
2020-05-11,81371,1305,1276.142857,2021-01-12
2020-05-12,82821,1450,1235.714286,2021-01-12
2020-05-13,84132,1311,1180.428571,2021-01-12
2020-05-14,85447,1315,1128.714286,2021-01-12
2020-05-15,86551,1104,1079,2021-01-12
2020-05-16,87196,645,1073.714286,2021-01-12
2020-05-17,87559,363,1070.571429,2021-01-12
2020-05-18,88870,1311,1071.428571,2021-01-12
2020-05-19,89943,1073,1017.571429,2021-01-12
2020-05-20,90954,1011,974.7142857,2021-01-12
2020-05-21,91917,963,924.4285714,2021-01-12
2020-05-22,92779,862,889.7142857,2021-01-12
2020-05-23,93166,387,852.8571429,2021-01-12
2020-05-24,93467,301,844,2021-01-12
2020-05-25,93665,198,685,2021-01-12
