test_date,total_positive,new_positive,confirmed_case_7d_avg,issue_date
2020-01-29,1,1,NA,2021-08-02
2020-01-30,1,0,NA,2021-08-02
2020-01-31,1,0,NA,2021-08-02
2020-02-01,1,0,NA,2021-08-02
2020-02-02,1,0,NA,2021-08-02
2020-02-03,1,0,NA,2021-08-02
2020-02-04,1,0,0.142857143,2021-08-02
2020-02-05,1,0,0,2021-08-02
2020-02-06,2,1,0.142857143,2021-08-02
2020-02-07,2,0,0.142857143,2021-08-02
2020-02-08,2,0,0.142857143,2021-08-02
2020-02-09,2,0,0.142857143,2021-08-02
2020-02-10,2,0,0.142857143,2021-08-02
2020-02-11,2,0,0.142857143,2021-08-02
2020-02-12,2,0,0.142857143,2021-08-02
2020-02-13,2,0,0,2021-08-02
2020-02-14,2,0,0,2021-08-02
2020-02-15,2,0,0,2021-08-02
2020-02-16,2,0,0,2021-08-02
2020-02-17,2,0,0,2021-08-02
2020-02-18,2,0,0,2021-08-02
2020-02-19,2,0,0,2021-08-02
2020-02-20,2,0,0,2021-08-02
2020-02-21,2,0,0,2021-08-02
2020-02-22,2,0,0,2021-08-02
2020-02-23,2,0,0,2021-08-02
2020-02-24,2,0,0,2021-08-02
2020-02-25,2,0,0,2021-08-02
2020-02-26,2,0,0,2021-08-02
2020-02-27,2,0,0,2021-08-02
2020-02-28,2,0,0,2021-08-02
2020-02-29,2,0,0,2021-08-02
2020-03-01,3,1,0.142857143,2021-08-02
2020-03-02,3,0,0.142857143,2021-08-02
2020-03-03,4,1,0.285714286,2021-08-02
2020-03-04,6,2,0.571428571,2021-08-02
2020-03-05,14,8,1.714285714,2021-08-02
2020-03-06,28,14,3.714285714,2021-08-02
2020-03-07,72,44,10,2021-08-02
2020-03-08,91,19,12.57142857,2021-08-02
2020-03-09,96,5,13.28571429,2021-08-02
2020-03-10,110,14,15.14285714,2021-08-02
2020-03-11,132,22,18,2021-08-02
2020-03-12,161,29,21,2021-08-02
2020-03-13,222,61,27.71428571,2021-08-02
2020-03-14,295,73,31.85714286,2021-08-02
2020-03-15,363,68,38.85714286,2021-08-02
2020-03-16,513,150,59.57142857,2021-08-02
2020-03-17,762,249,93.14285714,2021-08-02
2020-03-18,1021,259,127,2021-08-02
2020-03-19,1300,279,162.5714286,2021-08-02
2020-03-20,1688,388,209.2857143,2021-08-02
2020-03-21,2010,322,244.8571429,2021-08-02
2020-03-22,2296,286,276,2021-08-02
2020-03-23,2905,609,341.5714286,2021-08-02
2020-03-24,3623,718,408.5714286,2021-08-02
2020-03-25,4370,747,478.1428571,2021-08-02
2020-03-26,5305,935,572,2021-08-02
2020-03-27,6248,943,651.2857143,2021-08-02
2020-03-28,6902,654,698.7142857,2021-08-02
2020-03-29,7425,523,732.5714286,2021-08-02
2020-03-30,8663,1238,822.4285714,2021-08-02
2020-03-31,9929,1266,900.7142857,2021-08-02
2020-04-01,11267,1338,985.2857143,2021-08-02
2020-04-02,12543,1276,1033.857143,2021-08-02
2020-04-03,14022,1479,1110.571429,2021-08-02
2020-04-04,15184,1162,1183.142857,2021-08-02
2020-04-05,16161,977,1248,2021-08-02
2020-04-06,18092,1931,1347.142857,2021-08-02
2020-04-07,20110,2018,1455,2021-08-02
2020-04-08,21974,1864,1530.142857,2021-08-02
2020-04-09,23950,1976,1630.571429,2021-08-02
2020-04-10,26005,2055,1712.714286,2021-08-02
2020-04-11,27333,1328,1736.571429,2021-08-02
2020-04-12,28264,931,1729.857143,2021-08-02
2020-04-13,30250,1986,1737.571429,2021-08-02
2020-04-14,33176,2926,1867,2021-08-02
2020-04-15,35716,2540,1963.571429,2021-08-02
2020-04-16,38102,2386,2021.857143,2021-08-02
2020-04-17,41091,2989,2155.285714,2021-08-02
2020-04-18,42571,1480,2176.857143,2021-08-02
2020-04-19,43660,1089,2199.571429,2021-08-02
2020-04-20,46345,2685,2299.428571,2021-08-02
2020-04-21,48534,2189,2193.571429,2021-08-02
2020-04-22,51233,2699,2216.857143,2021-08-02
2020-04-23,53637,2404,2219.571429,2021-08-02
2020-04-24,55908,2271,2117.428571,2021-08-02
2020-04-25,57399,1491,2119.142857,2021-08-02
2020-04-26,58243,844,2084.142857,2021-08-02
2020-04-27,60369,2126,2004.571429,2021-08-02
2020-04-28,62468,2099,1992.714286,2021-08-02
2020-04-29,64652,2184,1918.714286,2021-08-02
2020-04-30,66697,2045,1867.571429,2021-08-02
2020-05-01,68775,2078,1840,2021-08-02
2020-05-02,69801,1026,1773.857143,2021-08-02
2020-05-03,70531,730,1758,2021-08-02
2020-05-04,72405,1874,1722.285714,2021-08-02
2020-05-05,74135,1730,1669.428571,2021-08-02
2020-05-06,75826,1691,1599.857143,2021-08-02
2020-05-07,77495,1669,1547,2021-08-02
2020-05-08,78941,1446,1457.285714,2021-08-02
2020-05-09,79623,682,1407.714286,2021-08-02
2020-05-10,80007,384,1358,2021-08-02
2020-05-11,81307,1300,1276.142857,2021-08-02
2020-05-12,82753,1446,1235.714286,2021-08-02
2020-05-13,84063,1310,1180.428571,2021-08-02
2020-05-14,85376,1313,1128.714286,2021-08-02
2020-05-15,86478,1102,1079,2021-08-02
2020-05-16,87122,644,1073.714286,2021-08-02
2020-05-17,87485,363,1070.571429,2021-08-02
2020-05-18,88794,1309,1071.428571,2021-08-02
2020-05-19,89862,1068,1017.571429,2021-08-02
2020-05-20,90872,1010,974.7142857,2021-08-02
2020-05-21,91831,959,924.4285714,2021-08-02
2020-05-22,92694,863,889.7142857,2021-08-02
2020-05-23,93080,386,852.8571429,2021-08-02
2020-05-24,93380,300,844,2021-08-02
2020-05-25,93578,198,685,2021-08-02
2020-05-26,94442,864,655.1428571,2021-08-02
2020-05-27,95127,685,608.8571429,2021-08-02
2020-05-28,95766,639,562.5714286,2021-08-02
2020-05-29,96296,530,515.1428571,2021-08-02
2020-05-30,96566,270,498.5714286,2021-08-02
2020-05-31,96726,160,478.5714286,2021-08-02
2020-06-01,97235,509,522.8571429,2021-08-02
2020-06-02,97679,444,463.2857143,2021-08-02
2020-06-03,98137,458,430.7142857,2021-08-02
2020-06-04,98515,378,393.4285714,2021-08-02
2020-06-05,98851,336,365.8571429,2021-08-02
2020-06-06,98999,148,348.2857143,2021-08-02
2020-06-07,99150,151,346.8571429,2021-08-02
2020-06-08,99500,350,324.5714286,2021-08-02
