test_date,total_positive,new_positive,confirmed_case_7d_avg,issue_date
2020-01-29,1,1,NA,2021-06-14
2020-01-30,1,0,NA,2021-06-14
2020-01-31,1,0,NA,2021-06-14
2020-02-01,1,0,NA,2021-06-14
2020-02-02,1,0,NA,2021-06-14
2020-02-03,1,0,NA,2021-06-14
2020-02-04,1,0,0.142857143,2021-06-14
2020-02-05,1,0,0,2021-06-14
2020-02-06,2,1,0.142857143,2021-06-14
2020-02-07,2,0,0.142857143,2021-06-14
2020-02-08,2,0,0.142857143,2021-06-14
2020-02-09,2,0,0.142857143,2021-06-14
2020-02-10,2,0,0.142857143,2021-06-14
2020-02-11,2,0,0.142857143,2021-06-14
2020-02-12,2,0,0.142857143,2021-06-14
2020-02-13,2,0,0,2021-06-14
2020-02-14,2,0,0,2021-06-14
2020-02-15,2,0,0,2021-06-14
2020-02-16,2,0,0,2021-06-14
2020-02-17,2,0,0,2021-06-14
2020-02-18,2,0,0,2021-06-14
2020-02-19,2,0,0,2021-06-14
2020-02-20,2,0,0,2021-06-14
2020-02-21,2,0,0,2021-06-14
2020-02-22,2,0,0,2021-06-14
2020-02-23,2,0,0,2021-06-14
2020-02-24,2,0,0,2021-06-14
2020-02-25,2,0,0,2021-06-14
2020-02-26,2,0,0,2021-06-14
2020-02-27,2,0,0,2021-06-14
2020-02-28,2,0,0,2021-06-14
2020-02-29,2,0,0,2021-06-14
2020-03-01,3,1,0.142857143,2021-06-14
2020-03-02,3,0,0.142857143,2021-06-14
2020-03-03,4,1,0.285714286,2021-06-14
2020-03-04,6,2,0.571428571,2021-06-14
2020-03-05,14,8,1.714285714,2021-06-14
2020-03-06,28,14,3.714285714,2021-06-14
2020-03-07,72,44,10,2021-06-14
2020-03-08,91,19,12.57142857,2021-06-14
2020-03-09,96,5,13.28571429,2021-06-14
2020-03-10,110,14,15.14285714,2021-06-14
2020-03-11,132,22,18,2021-06-14
2020-03-12,161,29,21,2021-06-14
2020-03-13,222,61,27.71428571,2021-06-14
2020-03-14,295,73,31.85714286,2021-06-14
2020-03-15,363,68,38.85714286,2021-06-14
2020-03-16,513,150,59.57142857,2021-06-14
2020-03-17,762,249,93.14285714,2021-06-14
2020-03-18,1021,259,127,2021-06-14
2020-03-19,1300,279,162.5714286,2021-06-14
2020-03-20,1688,388,209.2857143,2021-06-14
2020-03-21,2010,322,244.8571429,2021-06-14
2020-03-22,2296,286,276,2021-06-14
2020-03-23,2905,609,341.5714286,2021-06-14
2020-03-24,3623,718,408.5714286,2021-06-14
2020-03-25,4370,747,478.1428571,2021-06-14
2020-03-26,5305,935,572,2021-06-14
2020-03-27,6248,943,651.2857143,2021-06-14
2020-03-28,6902,654,698.7142857,2021-06-14
2020-03-29,7425,523,732.5714286,2021-06-14
2020-03-30,8663,1238,822.4285714,2021-06-14
2020-03-31,9929,1266,900.7142857,2021-06-14
2020-04-01,11267,1338,985.2857143,2021-06-14
2020-04-02,12542,1275,1033.857143,2021-06-14
2020-04-03,14021,1479,1110.571429,2021-06-14
2020-04-04,15183,1162,1183.142857,2021-06-14
2020-04-05,16160,977,1248,2021-06-14
2020-04-06,18091,1931,1347.142857,2021-06-14
2020-04-07,20109,2018,1455,2021-06-14
2020-04-08,21973,1864,1530.142857,2021-06-14
2020-04-09,23949,1976,1630.571429,2021-06-14
2020-04-10,26004,2055,1712.714286,2021-06-14
2020-04-11,27332,1328,1736.571429,2021-06-14
2020-04-12,28262,930,1729.857143,2021-06-14
2020-04-13,30248,1986,1737.571429,2021-06-14
2020-04-14,33174,2926,1867,2021-06-14
2020-04-15,35714,2540,1963.571429,2021-06-14
2020-04-16,38101,2387,2021.857143,2021-06-14
2020-04-17,41090,2989,2155.285714,2021-06-14
2020-04-18,42570,1480,2176.857143,2021-06-14
2020-04-19,43659,1089,2199.571429,2021-06-14
2020-04-20,46344,2685,2299.428571,2021-06-14
2020-04-21,48534,2190,2193.571429,2021-06-14
2020-04-22,51233,2699,2216.857143,2021-06-14
2020-04-23,53637,2404,2219.571429,2021-06-14
2020-04-24,55908,2271,2117.428571,2021-06-14
2020-04-25,57399,1491,2119.142857,2021-06-14
2020-04-26,58243,844,2084.142857,2021-06-14
2020-04-27,60369,2126,2004.571429,2021-06-14
2020-04-28,62469,2100,1992.714286,2021-06-14
2020-04-29,64653,2184,1918.714286,2021-06-14
2020-04-30,66698,2045,1867.571429,2021-06-14
2020-05-01,68775,2077,1840,2021-06-14
2020-05-02,69804,1029,1773.857143,2021-06-14
2020-05-03,70536,732,1758,2021-06-14
2020-05-04,72413,1877,1722.285714,2021-06-14
2020-05-05,74145,1732,1669.428571,2021-06-14
2020-05-06,75841,1696,1599.857143,2021-06-14
2020-05-07,77515,1674,1547,2021-06-14
2020-05-08,78962,1447,1457.285714,2021-06-14
2020-05-09,79644,682,1407.714286,2021-06-14
2020-05-10,80028,384,1358,2021-06-14
2020-05-11,81331,1303,1276.142857,2021-06-14
2020-05-12,82779,1448,1235.714286,2021-06-14
2020-05-13,84089,1310,1180.428571,2021-06-14
2020-05-14,85403,1314,1128.714286,2021-06-14
2020-05-15,86506,1103,1079,2021-06-14
2020-05-16,87150,644,1073.714286,2021-06-14
2020-05-17,87513,363,1070.571429,2021-06-14
2020-05-18,88823,1310,1071.428571,2021-06-14
2020-05-19,89892,1069,1017.571429,2021-06-14
2020-05-20,90902,1010,974.7142857,2021-06-14
2020-05-21,91864,962,924.4285714,2021-06-14
2020-05-22,92727,863,889.7142857,2021-06-14
2020-05-23,93113,386,852.8571429,2021-06-14
2020-05-24,93414,301,844,2021-06-14
2020-05-25,93612,198,685,2021-06-14
2020-05-26,94476,864,655.1428571,2021-06-14
2020-05-27,95162,686,608.8571429,2021-06-14
2020-05-28,95801,639,562.5714286,2021-06-14
2020-05-29,96331,530,515.1428571,2021-06-14
2020-05-30,96601,270,498.5714286,2021-06-14
2020-05-31,96762,161,478.5714286,2021-06-14
2020-06-01,97271,509,522.8571429,2021-06-14
2020-06-02,97717,446,463.2857143,2021-06-14
2020-06-03,98176,459,430.7142857,2021-06-14
2020-06-04,98554,378,393.4285714,2021-06-14
2020-06-05,98890,336,365.8571429,2021-06-14
2020-06-06,99038,148,348.2857143,2021-06-14
2020-06-07,99189,151,346.8571429,2021-06-14
2020-06-08,99539,350,324.5714286,2021-06-14
2020-06-09,99880,341,309.7142857,2021-06-14
2020-06-10,100139,259,281.1428571,2021-06-14
2020-06-11,100365,226,259.4285714,2021-06-14
2020-06-12,100619,254,247.5714286,2021-06-14
2020-06-13,100715,96,240.2857143,2021-06-14
2020-06-14,100791,76,229.5714286,2021-06-14
2020-06-15,101027,236,212.8571429,2021-06-14
2020-06-16,101225,198,192.1428571,2021-06-14
2020-06-17,101473,248,190.5714286,2021-06-14
2020-06-18,101713,240,192.5714286,2021-06-14
2020-06-19,101887,174,181.2857143,2021-06-14
2020-06-20,101980,93,180.7142857,2021-06-14
2020-06-21,102059,79,181.1428571,2021-06-14
2020-06-22,102283,224,179.5714286,2021-06-14
2020-06-23,102471,188,178.2857143,2021-06-14
2020-06-24,102681,210,172.8571429,2021-06-14
2020-06-25,102887,206,168,2021-06-14
2020-06-26,103085,198,171.2857143,2021-06-14
2020-06-27,103219,134,177.1428571,2021-06-14
2020-06-28,103290,71,176,2021-06-14
2020-06-29,103495,205,173.2857143,2021-06-14
2020-06-30,103715,220,177.7142857,2021-06-14
2020-07-01,103931,216,178.5714286,2021-06-14
2020-07-02,104157,226,181.4285714,2021-06-14
2020-07-03,104256,99,167.2857143,2021-06-14
2020-07-04,104316,60,156.7142857,2021-06-14
2020-07-05,104417,101,161,2021-06-14
2020-07-06,104654,237,165.5714286,2021-06-14
2020-07-07,104895,241,168.5714286,2021-06-14
2020-07-08,105111,216,168.5714286,2021-06-14
2020-07-09,105365,254,172.5714286,2021-06-14
2020-07-10,105593,228,191,2021-06-14
2020-07-11,105710,117,199.1428571,2021-06-14
2020-07-12,105797,87,197.1428571,2021-06-14
2020-07-13,106063,266,201.2857143,2021-06-14
2020-07-14,106295,232,200,2021-06-14
2020-07-15,106593,298,211.7142857,2021-06-14
2020-07-16,106838,245,210.2857143,2021-06-14
2020-07-17,107065,227,210.1428571,2021-06-14
2020-07-18,107193,128,211.7142857,2021-06-14
2020-07-19,107267,74,209.8571429,2021-06-14
2020-07-20,107546,279,211.7142857,2021-06-14
2020-07-21,107801,255,215,2021-06-14
2020-07-22,108059,258,209.2857143,2021-06-14
2020-07-23,108317,258,211.2857143,2021-06-14
2020-07-24,108574,257,215.5714286,2021-06-14
2020-07-25,108734,160,220,2021-06-14
2020-07-26,108834,100,223.8571429,2021-06-14
2020-07-27,109195,361,235.5714286,2021-06-14
2020-07-28,109515,320,244.8571429,2021-06-14
2020-07-29,109833,318,253.5714286,2021-06-14
2020-07-30,110169,336,264.7142857,2021-06-14
2020-07-31,110488,319,273.5714286,2021-06-14
2020-08-01,110636,148,271.8571429,2021-06-14
2020-08-02,110743,107,273,2021-06-14
2020-08-03,111101,358,272.5714286,2021-06-14
2020-08-04,111408,307,270.8571429,2021-06-14
2020-08-05,111741,333,272.8571429,2021-06-14
2020-08-06,112095,354,275.4285714,2021-06-14
2020-08-07,112394,299,272.5714286,2021-06-14
2020-08-08,112563,169,275.7142857,2021-06-14
2020-08-09,112648,85,272.2857143,2021-06-14
2020-08-10,113020,372,274.5714286,2021-06-14
