test_date,total_positive,new_positive,confirmed_case_7d_avg,issue_date
2020-01-29,1,1,NA,2021-11-08
2020-01-30,1,0,NA,2021-11-08
2020-01-31,1,0,NA,2021-11-08
2020-02-01,1,0,NA,2021-11-08
2020-02-02,1,0,NA,2021-11-08
2020-02-03,1,0,NA,2021-11-08
2020-02-04,1,0,0.142857143,2021-11-08
2020-02-05,1,0,0,2021-11-08
2020-02-06,2,1,0.142857143,2021-11-08
2020-02-07,2,0,0.142857143,2021-11-08
2020-02-08,2,0,0.142857143,2021-11-08
2020-02-09,2,0,0.142857143,2021-11-08
2020-02-10,2,0,0.142857143,2021-11-08
2020-02-11,2,0,0.142857143,2021-11-08
2020-02-12,2,0,0.142857143,2021-11-08
2020-02-13,2,0,0,2021-11-08
2020-02-14,2,0,0,2021-11-08
2020-02-15,2,0,0,2021-11-08
2020-02-16,2,0,0,2021-11-08
2020-02-17,2,0,0,2021-11-08
2020-02-18,2,0,0,2021-11-08
2020-02-19,2,0,0,2021-11-08
2020-02-20,2,0,0,2021-11-08
2020-02-21,2,0,0,2021-11-08
2020-02-22,2,0,0,2021-11-08
2020-02-23,2,0,0,2021-11-08
2020-02-24,2,0,0,2021-11-08
2020-02-25,2,0,0,2021-11-08
2020-02-26,2,0,0,2021-11-08
2020-02-27,2,0,0,2021-11-08
2020-02-28,2,0,0,2021-11-08
2020-02-29,2,0,0,2021-11-08
2020-03-01,3,1,0.142857143,2021-11-08
2020-03-02,3,0,0.142857143,2021-11-08
2020-03-03,4,1,0.285714286,2021-11-08
2020-03-04,6,2,0.571428571,2021-11-08
2020-03-05,14,8,1.714285714,2021-11-08
2020-03-06,28,14,3.714285714,2021-11-08
2020-03-07,72,44,10,2021-11-08
2020-03-08,91,19,12.57142857,2021-11-08
2020-03-09,96,5,13.28571429,2021-11-08
2020-03-10,110,14,15.14285714,2021-11-08
2020-03-11,132,22,18,2021-11-08
2020-03-12,161,29,21,2021-11-08
2020-03-13,222,61,27.71428571,2021-11-08
2020-03-14,295,73,31.85714286,2021-11-08
2020-03-15,364,69,38.85714286,2021-11-08
2020-03-16,515,151,59.57142857,2021-11-08
2020-03-17,764,249,93.14285714,2021-11-08
2020-03-18,1023,259,127,2021-11-08
2020-03-19,1302,279,162.5714286,2021-11-08
2020-03-20,1690,388,209.2857143,2021-11-08
2020-03-21,2012,322,244.8571429,2021-11-08
2020-03-22,2298,286,276,2021-11-08
2020-03-23,2907,609,341.5714286,2021-11-08
2020-03-24,3625,718,408.5714286,2021-11-08
2020-03-25,4372,747,478.1428571,2021-11-08
2020-03-26,5307,935,572,2021-11-08
2020-03-27,6250,943,651.2857143,2021-11-08
2020-03-28,6904,654,698.7142857,2021-11-08
2020-03-29,7427,523,732.5714286,2021-11-08
2020-03-30,8665,1238,822.4285714,2021-11-08
2020-03-31,9931,1266,900.7142857,2021-11-08
2020-04-01,11269,1338,985.2857143,2021-11-08
2020-04-02,12545,1276,1033.857143,2021-11-08
2020-04-03,14024,1479,1110.571429,2021-11-08
2020-04-04,15186,1162,1183.142857,2021-11-08
2020-04-05,16163,977,1248,2021-11-08
2020-04-06,18093,1930,1347.142857,2021-11-08
2020-04-07,20110,2017,1455,2021-11-08
2020-04-08,21974,1864,1530.142857,2021-11-08
2020-04-09,23950,1976,1630.571429,2021-11-08
2020-04-10,26004,2054,1712.714286,2021-11-08
2020-04-11,27332,1328,1736.571429,2021-11-08
2020-04-12,28263,931,1729.857143,2021-11-08
2020-04-13,30249,1986,1737.571429,2021-11-08
2020-04-14,33174,2925,1867,2021-11-08
2020-04-15,35713,2539,1963.571429,2021-11-08
2020-04-16,38099,2386,2021.857143,2021-11-08
2020-04-17,41087,2988,2155.285714,2021-11-08
2020-04-18,42567,1480,2176.857143,2021-11-08
2020-04-19,43656,1089,2199.571429,2021-11-08
2020-04-20,46341,2685,2299.428571,2021-11-08
2020-04-21,48530,2189,2193.571429,2021-11-08
2020-04-22,51228,2698,2216.857143,2021-11-08
2020-04-23,53632,2404,2219.571429,2021-11-08
2020-04-24,55904,2272,2117.428571,2021-11-08
2020-04-25,57395,1491,2119.142857,2021-11-08
2020-04-26,58239,844,2084.142857,2021-11-08
2020-04-27,60365,2126,2004.571429,2021-11-08
2020-04-28,62464,2099,1992.714286,2021-11-08
2020-04-29,64647,2183,1918.714286,2021-11-08
2020-04-30,66692,2045,1867.571429,2021-11-08
2020-05-01,68770,2078,1840,2021-11-08
2020-05-02,69796,1026,1773.857143,2021-11-08
2020-05-03,70526,730,1758,2021-11-08
2020-05-04,72400,1874,1722.285714,2021-11-08
2020-05-05,74130,1730,1669.428571,2021-11-08
2020-05-06,75821,1691,1599.857143,2021-11-08
2020-05-07,77490,1669,1547,2021-11-08
2020-05-08,78936,1446,1457.285714,2021-11-08
2020-05-09,79618,682,1407.714286,2021-11-08
2020-05-10,80002,384,1358,2021-11-08
2020-05-11,81302,1300,1276.142857,2021-11-08
2020-05-12,82747,1445,1235.714286,2021-11-08
2020-05-13,84055,1308,1180.428571,2021-11-08
2020-05-14,85368,1313,1128.714286,2021-11-08
2020-05-15,86467,1099,1079,2021-11-08
2020-05-16,87110,643,1073.714286,2021-11-08
2020-05-17,87472,362,1070.571429,2021-11-08
2020-05-18,88778,1306,1071.428571,2021-11-08
2020-05-19,89844,1066,1017.571429,2021-11-08
2020-05-20,90853,1009,974.7142857,2021-11-08
2020-05-21,91812,959,924.4285714,2021-11-08
2020-05-22,92674,862,889.7142857,2021-11-08
2020-05-23,93060,386,852.8571429,2021-11-08
2020-05-24,93360,300,844,2021-11-08
2020-05-25,93558,198,685,2021-11-08
2020-05-26,94419,861,655.1428571,2021-11-08
2020-05-27,95103,684,608.8571429,2021-11-08
2020-05-28,95739,636,562.5714286,2021-11-08
